start_time,	pre_process,	bird_view,	sliding_windows,	draw_lane,	run_time
1546768697.18,	0.0020580291748,	0.00238704681396,	0.00831294059753,	0.00258898735046,	1546768697.2
1546768697.22,	0.00213599205017,	0.00437688827515,	0.00799107551575,	0.00429606437683,	1546768697.24
1546768697.24,	0.00242710113525,	0.00207090377808,	0.00688004493713,	0.00483393669128,	1546768697.26
1546768697.27,	0.00243616104126,	0.00300979614258,	0.0159001350403,	0.00360894203186,	1546768697.3
1546768697.3,	0.00194692611694,	0.00697612762451,	0.00605797767639,	0.00323390960693,	1546768697.33
1546768697.33,	0.00196003913879,	0.00941705703735,	0.00690293312073,	0.0022029876709,	1546768697.35
1546768697.37,	0.00192093849182,	0.00237512588501,	0.0152308940887,	0.00253510475159,	1546768697.39
1546768697.4,	0.00274801254272,	0.00286388397217,	0.00934600830078,	0.00242400169373,	1546768697.42
1546768697.43,	0.00185704231262,	0.00283813476562,	0.00866603851318,	0.00346088409424,	1546768697.45
1546768697.46,	0.0021641254425,	0.00361490249634,	0.00730419158936,	0.00353193283081,	1546768697.48
1546768697.48,	0.00235509872437,	0.00909900665283,	0.00568890571594,	0.00215005874634,	1546768697.5
1546768697.51,	0.00222706794739,	0.00538611412048,	0.00823879241943,	0.00454020500183,	1546768697.53
1546768697.55,	0.00227189064026,	0.00466203689575,	0.00999116897583,	0.00266695022583,	1546768697.57
1546768697.58,	0.00213408470154,	0.00703597068787,	0.0102360248566,	0.00316786766052,	1546768697.61
1546768697.62,	0.00233006477356,	0.00303292274475,	0.0084969997406,	0.00464010238647,	1546768697.64
1546768697.65,	0.0022349357605,	0.00778007507324,	0.0117399692535,	0.0028829574585,	1546768697.67
1546768697.68,	0.00192999839783,	0.00222516059875,	0.0097668170929,	0.0047881603241,	1546768697.7
1546768697.71,	0.00311493873596,	0.00745511054993,	0.00774002075195,	0.00475788116455,	1546768697.73
1546768697.74,	0.00336790084839,	0.00288009643555,	0.00948691368103,	0.0051441192627,	1546768697.77
1546768697.77,	0.00244212150574,	0.00428199768066,	0.0100839138031,	0.00304818153381,	1546768697.8
1546768697.81,	0.00210189819336,	0.00230193138123,	0.00847005844116,	0.00424098968506,	1546768697.83
1546768697.83,	0.00214385986328,	0.00200605392456,	0.00959897041321,	0.00355505943298,	1546768697.85
1546768697.86,	0.00250601768494,	0.0041561126709,	0.00546598434448,	0.00224995613098,	1546768697.88
1546768697.89,	0.00271987915039,	0.0048360824585,	0.0111930370331,	0.00426197052002,	1546768697.92
1546768697.93,	0.00281596183777,	0.00612711906433,	0.00811290740967,	0.00316309928894,	1546768697.95
1546768697.96,	0.0027129650116,	0.00380706787109,	0.00912714004517,	0.00276684761047,	1546768697.98
1546768697.99,	0.00521612167358,	0.00273585319519,	0.0101430416107,	0.00291609764099,	1546768698.01
1546768698.03,	0.00208902359009,	0.00220608711243,	0.0107529163361,	0.00583004951477,	1546768698.05
1546768698.06,	0.00215911865234,	0.00458097457886,	0.00903797149658,	0.00517392158508,	1546768698.08
1546768698.1,	0.00250506401062,	0.00718402862549,	0.00986790657043,	0.00384211540222,	1546768698.12
1546768698.14,	0.00442504882812,	0.00500106811523,	0.0120360851288,	0.00321483612061,	1546768698.16
